                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                  1.574,                 2.0867,                 1.6585,                0.36438,                 0.3733,                 0.3172,                0.26407,                 1.9208,                 2.8615,                 2.0436,                0.00901,                0.00901,                0.00901
                     32,                 1.5724,                 2.0698,                 1.6539,                 0.4887,                 0.4594,                0.46919,                0.41764,                 1.7558,                  2.139,                 1.8221,               0.008977,               0.008977,               0.008977
                     33,                 1.5599,                  2.073,                 1.6375,                0.44667,                 0.4601,                 0.4317,                0.37096,                 1.7912,                 2.4602,                 1.8813,               0.008944,               0.008944,               0.008944
                     34,                 1.5677,                 2.0779,                 1.6465,                0.43965,                0.47967,                 0.4615,                0.41007,                 1.7717,                  2.193,                 1.8633,               0.008911,               0.008911,               0.008911
                     35,                 1.5425,                 2.0426,                 1.6261,                0.47018,                0.48547,                0.47767,                0.41882,                 1.7709,                 2.0756,                 1.8417,               0.008878,               0.008878,               0.008878
                     36,                 1.5543,                 2.0294,                 1.6313,                0.44374,                0.46241,                0.42403,                0.37754,                 1.7378,                 2.2089,                 1.8439,               0.008845,               0.008845,               0.008845
                     37,                 1.5662,                 2.0255,                 1.6319,                 0.5111,                0.51532,                0.50943,                0.45739,                 1.7372,                 2.0273,                 1.8404,               0.008812,               0.008812,               0.008812
                     38,                 1.5361,                 2.0121,                 1.6143,                0.46964,                0.47324,                0.46828,                0.42418,                 1.7306,                 2.0601,                 1.8403,               0.008779,               0.008779,               0.008779
                     39,                 1.5457,                 1.9881,                 1.6165,                0.52862,                0.49589,                0.50421,                0.45784,                  1.705,                 2.0001,                 1.8139,               0.008746,               0.008746,               0.008746
                     40,                 1.5231,                 2.0021,                 1.6242,                 0.4653,                0.47225,                0.45959,                0.40203,                 1.8199,                 2.1207,                  1.886,               0.008713,               0.008713,               0.008713
                     41,                   1.53,                  1.975,                 1.6112,                0.45483,                0.52204,                0.48928,                0.43286,                  1.682,                 1.9927,                 1.7994,                0.00868,                0.00868,                0.00868
                     42,                 1.5216,                 1.9547,                 1.6057,                0.55236,                0.47213,                0.51097,                0.45845,                 1.7178,                 2.0264,                 1.8104,               0.008647,               0.008647,               0.008647
                     43,                 1.5381,                 1.9646,                 1.6144,                0.54717,                0.48329,                 0.5021,                0.44936,                 1.7017,                 2.0219,                 1.7986,               0.008614,               0.008614,               0.008614
                     44,                 1.5234,                 1.9419,                  1.604,                0.49802,                0.48961,                0.49457,                0.44007,                 1.7295,                 2.0137,                 1.8021,               0.008581,               0.008581,               0.008581
                     45,                    1.5,                 1.9244,                 1.6033,                 0.5094,                0.49399,                0.48629,                0.42751,                 1.7383,                 2.0256,                 1.8342,               0.008548,               0.008548,               0.008548
                     46,                 1.5229,                 1.9261,                 1.5982,                0.49388,                0.49531,                 0.5034,                0.44913,                 1.6908,                 2.0325,                  1.819,               0.008515,               0.008515,               0.008515
                     47,                 1.5107,                 1.9456,                 1.5984,                0.55284,                0.52103,                0.52425,                0.47091,                 1.7064,                 1.9004,                 1.7962,               0.008482,               0.008482,               0.008482
                     48,                 1.4977,                 1.9036,                 1.5812,                0.52657,                0.47301,                0.49916,                0.44163,                 1.7482,                 2.0489,                 1.8299,               0.008449,               0.008449,               0.008449
                     49,                 1.5147,                 1.9034,                 1.5939,                0.55518,                 0.5261,                0.55306,                0.50083,                 1.7044,                 1.8693,                  1.804,               0.008416,               0.008416,               0.008416
                     50,                 1.5019,                 1.8784,                 1.5806,                0.57106,                0.50294,                0.53488,                 0.4774,                 1.6695,                 1.8576,                 1.7689,               0.008383,               0.008383,               0.008383
                     51,                 1.5117,                 1.8976,                 1.5888,                0.55885,                0.52925,                0.53634,                0.48659,                 1.6675,                 1.8521,                 1.7918,                0.00835,                0.00835,                0.00835
                     52,                 1.5066,                 1.9016,                 1.5898,                0.45982,                 0.5109,                0.46832,                0.41939,                 1.6936,                 2.0168,                 1.8164,               0.008317,               0.008317,               0.008317
                     53,                 1.4919,                 1.8726,                 1.5869,                0.53406,                0.52725,                0.53833,                0.48778,                 1.6208,                 1.8614,                 1.7647,               0.008284,               0.008284,               0.008284
                     54,                 1.4926,                 1.8639,                 1.5707,                0.55807,                0.51867,                0.51881,                0.46932,                 1.6856,                   1.92,                 1.7978,               0.008251,               0.008251,               0.008251
