                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.3565,                 1.5649,                 1.4563,                 0.6046,                0.59451,                0.61373,                0.55492,                 1.5972,                 1.5957,                 1.6982,               0.005974,               0.005974,               0.005974
                    124,                  1.378,                 1.5982,                 1.4752,                0.62726,                0.57825,                0.61211,                0.55547,                 1.6071,                 1.6069,                 1.7091,               0.005941,               0.005941,               0.005941
                    125,                 1.3571,                 1.5886,                   1.46,                0.62087,                0.57621,                0.62204,                0.56522,                 1.5944,                 1.5964,                  1.712,               0.005908,               0.005908,               0.005908
                    126,                 1.3718,                 1.5563,                 1.4702,                0.60705,                0.59399,                0.62765,                 0.5708,                 1.5888,                 1.5759,                 1.7024,               0.005875,               0.005875,               0.005875
                    127,                  1.366,                 1.5557,                 1.4656,                0.62892,                0.59653,                0.63093,                 0.5723,                  1.595,                 1.5861,                 1.7026,               0.005842,               0.005842,               0.005842
                    128,                 1.3624,                 1.5571,                   1.46,                0.60479,                 0.5887,                0.62076,                0.56109,                 1.5807,                 1.5738,                 1.6924,               0.005809,               0.005809,               0.005809
                    129,                 1.3628,                 1.5604,                 1.4589,                0.63926,                  0.597,                0.63684,                0.57959,                 1.6037,                 1.5492,                 1.7105,               0.005776,               0.005776,               0.005776
                    130,                 1.3504,                 1.5431,                 1.4625,                0.63843,                0.57542,                 0.6209,                0.56657,                 1.6004,                 1.5693,                 1.7046,               0.005743,               0.005743,               0.005743
                    131,                 1.3629,                 1.5681,                 1.4711,                0.62993,                0.59803,                0.63708,                0.57926,                 1.6008,                 1.5673,                 1.7083,                0.00571,                0.00571,                0.00571
                    132,                 1.3555,                 1.5436,                 1.4608,                0.66398,                0.57515,                0.62967,                0.57504,                 1.6028,                 1.5845,                 1.7108,               0.005677,               0.005677,               0.005677
                    133,                 1.3332,                 1.5218,                  1.444,                0.63898,                0.59426,                0.63246,                0.57778,                  1.592,                 1.5795,                 1.7029,               0.005644,               0.005644,               0.005644
                    134,                  1.345,                 1.5239,                 1.4514,                0.62969,                0.62234,                 0.6472,                 0.5914,                 1.5926,                 1.5662,                 1.6993,               0.005611,               0.005611,               0.005611
                    135,                 1.3517,                 1.5269,                 1.4546,                0.62155,                0.62104,                0.64165,                0.58332,                 1.5926,                 1.5687,                 1.6903,               0.005578,               0.005578,               0.005578
                    136,                 1.3477,                 1.5234,                 1.4492,                0.61872,                0.61835,                0.64735,                0.59014,                 1.5894,                 1.5556,                 1.6927,               0.005545,               0.005545,               0.005545
                    137,                  1.345,                 1.5317,                 1.4496,                 0.5905,                0.63505,                0.64682,                0.58643,                 1.6042,                 1.5621,                 1.7027,               0.005512,               0.005512,               0.005512
                    138,                  1.348,                 1.5115,                 1.4523,                0.59174,                 0.6438,                0.64445,                0.58677,                 1.5983,                 1.5584,                  1.699,               0.005479,               0.005479,               0.005479
                    139,                 1.3552,                 1.5282,                 1.4521,                0.60724,                0.62844,                0.63841,                0.58078,                 1.6068,                  1.548,                 1.7036,               0.005446,               0.005446,               0.005446
                    140,                  1.339,                  1.499,                 1.4409,                0.60763,                0.60811,                0.63002,                0.57769,                 1.5793,                 1.5456,                 1.6755,               0.005413,               0.005413,               0.005413
                    141,                 1.3425,                 1.5178,                 1.4497,                0.60405,                0.61777,                0.63696,                0.58005,                   1.58,                 1.5434,                 1.6818,                0.00538,                0.00538,                0.00538
                    142,                  1.327,                 1.4891,                  1.436,                0.59419,                0.61477,                0.63435,                0.57751,                 1.5943,                 1.5452,                  1.693,               0.005347,               0.005347,               0.005347
                    143,                 1.3277,                  1.485,                 1.4371,                0.61077,                 0.5973,                0.63221,                0.57708,                 1.5779,                 1.5447,                 1.6791,               0.005314,               0.005314,               0.005314
                    144,                 1.3448,                 1.4995,                 1.4514,                 0.5934,                 0.6014,                0.62655,                0.57224,                 1.5931,                 1.5356,                 1.6988,               0.005281,               0.005281,               0.005281
                    145,                  1.333,                 1.4834,                 1.4402,                0.61035,                0.60639,                0.63742,                 0.5846,                 1.5827,                 1.5214,                 1.6874,               0.005248,               0.005248,               0.005248
                    146,                 1.3306,                  1.482,                 1.4321,                0.61858,                0.61022,                0.64006,                0.58371,                 1.5781,                 1.5219,                 1.6784,               0.005215,               0.005215,               0.005215
                    147,                  1.341,                 1.4986,                 1.4525,                0.60757,                0.62602,                0.64365,                0.58543,                 1.5854,                 1.5187,                 1.6836,               0.005182,               0.005182,               0.005182
